"","V1","V2"
"297","PRN_ADNP","FHA_IgG4"
"298","PRN_ADNP","TT_ADCP"
"299","PRN_ADNP","IPV3_IgG4"
"300","PRN_ADNP","FHA_IgG2"
"301","PRN_ADNP","IPV2_FcgR3b"
"302","PRN_ADNP","PT_ADCP"
"303","PRN_ADNP","IPV2_IgG3"
"304","PRN_ADNP","PRN_ADCP"
"305","PRN_ADNP","PT_IgG"
"306","PRN_ADNP","PT_ADCD"
"307","DT_FcgR3b","TT_ADCD"
"308","DT_FcgR3b","IPV2_IgG4"
"309","DT_FcgR3b","PT_FcgR3b"
"310","DT_FcgR3b","FIM_IgG"
"311","DT_FcgR3b","TT_IgG4"
"312","DT_FcgR3b","TT_IgG2"
"313","DT_FcgR3b","IPV1_FcgR3b"
"314","DT_FcgR3b","FHA_FcgR3b"
"315","DT_FcgR3b","TT_FcgR3b"
"316","DT_FcgR3b","IPV3_FcgR3b"
"317","DT_FcgR3b","ACT_IgG1"
"318","DT_FcgR3b","FIM_IgG1"
"319","DT_FcgR3b","DT_IgG"
"320","DT_FcgR3b","TT_IgG1"
"321","DT_FcgR3b","DT_IgG3"
"322","DT_FcgR3b","FHA_IgG1"
"323","DT_FcgR3b","FHA_ADCD"
"324","DT_FcgR3b","TT_FcgR2a"
"325","DT_FcgR3b","PT_IgG1"
"326","DT_FcgR3b","FIM_FcgR2a"
"327","DT_FcgR3b","FIM_IgG3"
"328","DT_FcgR3b","PRN_FcgR3b"
"329","DT_FcgR3b","FIM_IgG2"
"330","DT_FcgR3b","TT_ADCP"
"331","DT_FcgR3b","TT_IgG"
"332","DT_FcgR3b","ACT_IgG2"
"333","DT_FcgR3b","ACT_ADCD"
"334","DT_FcgR3b","DT_IgG4"
"335","DT_FcgR3b","FHA_IgG2"
"336","DT_FcgR3b","FHA_IgG3"
"337","DT_FcgR3b","IPV2_FcgR3b"
"338","DT_FcgR3b","IPV3_IgG1"
"339","DT_FcgR3b","IPV1_IgG1"
"340","DT_FcgR3b","PT_ADCP"
"341","DT_FcgR3b","IPV3_IgG3"
"342","DT_FcgR3b","IPV2_IgG3"
"343","DT_FcgR3b","DT_IgG1"
"344","DT_FcgR3b","PRN_ADCP"
"345","DT_FcgR3b","PT_ADCD"
"346","IPV3_FcgR2a","DT_FcgR2a"
"347","IPV3_FcgR2a","PT_FcgR3b"
"348","IPV3_FcgR2a","IPV2_ADCD"
"349","IPV3_FcgR2a","TT_IgG4"
"350","IPV3_FcgR2a","IPV1_FcgR3b"
"351","IPV3_FcgR2a","FIM_ADCD"
"352","IPV3_FcgR2a","FHA_FcgR3b"
"353","IPV3_FcgR2a","TT_FcgR3b"
"354","IPV3_FcgR2a","PRN_IgG"
"355","IPV3_FcgR2a","IPV3_FcgR3b"
"356","IPV3_FcgR2a","FIM_FcgR3b"
"357","IPV3_FcgR2a","PRN_IgG4"
"358","IPV3_FcgR2a","IPV2_FcgR2a"
"359","IPV3_FcgR2a","IPV1_FcgR2a"
"360","IPV3_FcgR2a","TT_FcgR2a"
"361","IPV3_FcgR2a","IPV2_IgG1"
"362","IPV3_FcgR2a","PRN_FcgR3b"
"363","IPV3_FcgR2a","DT_IgG2"
"364","IPV3_FcgR2a","IPV3_IgG4"
"365","IPV3_FcgR2a","IPV2_FcgR3b"
"366","IPV3_FcgR2a","IPV3_IgG1"
"367","IPV3_FcgR2a","IPV3_IgG2"
